name,phone_numbers,officialPhone,email,websites,officialWebsite,facebookLink,address_line1,address_line2,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,description,specialties,procedure,equipment,capability,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
1000 Smiles Dental Clinic,"[""+919392803399""]",+919392803399,1000smilesdentalclinic@gmail.com,"[""https://www.facebook.com/249768584883702"",""https://www.justdial.com/Hyderabad/1000-Smiles-Dental-Clinic-Opposie-Hdfc-Bank-Amberpet/040PXX40-XX40-160227012741-N9P1_BZDET""]",null,https://www.facebook.com/249768584883702,"Plot No 2-2-1075/15/1/5, Shivam Road","Opposite Hdfc Bank, Tilak Nagar",Hyderabad,Telangana,500013.0,India,IN,clinic,null,"Dental clinic offering RCT (Root Canal) and Laser Dentistry in Amberpet, Hyderabad.","[""familyMedicine"",""periodontics"",""endodontics"",""dentistry"",""aestheticDentistry""]","[""Performs root canal therapy (RCT)"",""Provides laser dentistry services""]",[],"[""Has been in operation for 10 years"",""Dental clinic""]",1.0,false,false,23.0,10.0,null,17.39773941040030,78.4826812744140
108 Eye And Heath Centre,"[""+919015821616""]",+919015821616,108healthcentre@gmail.com,"[""https://www.indiamart.com/108-eye-and-health-centre/"",""https://108-eye-health.localo.site/"",""108eye.com"",""https://www.justdial.com/Noida/108-Eye-And-Heath-Centre-Near-State-Bank-Of-India-D-Block-Sector-50-Noida-Sector-50/011PXX11-XX11-180216202406-Z2S8_BZDET"",""https://www.facebook.com/108eyeandhealthcentre/"",""https://108eye.com/"",""https://www.practo.com/noida/clinics/eye-clinics"",""https://www.facebook.com/252399348484757""]",108eye.com,https://www.facebook.com/252399348484757,House Number 108,"Near State Bank Of India D Block Sector 50, E Block",Noida,Uttar Pradesh,201307.0,India,IN,clinic,private,"108 Eye And Health Centre provides you the best range of treatments, treatment services, pharmaceutical injection, veterinary drugs & our services with effective & timely delivery.","[""pediatricsAndStrabismusOphthalmology"",""ophthalmology"",""refractiveSurgeryOphthalmology"",""familyMedicine"",""eyeTraumaAndEmergencyEyeCare"",""cataractAndAnteriorSegmentSurgery"",""uveitisOphthalmology"",""retinaAndVitreoretinalOphthalmology"",""glaucomaOphthalmology"",""neuroOphthalmology""]","[""Treats Squint"",""Glaucoma management"",""Offers Paediatric Ophthalmology"",""Performs cataract surgery"",""General eye check-up"",""Manages Uveitis"",""Cataract surgery"",""LASIK"",""IPCL"",""Pre-LASIK tests"",""Provides Basic Eye Check Up"",""Offers Retina Treatment Services"",""Offers Glaucoma Treatment"",""Offers Neuro Ophthalmology"",""ICL"",""Post-LASIK care"",""Squint correction"",""Retina treatment"",""Pediatric ophthalmology services""]",[],"[""Neuro Ophthalmology services offered"",""Outpatient ophthalmology clinic"",""Has 1 ophthalmologist/eye surgeon on staff"",""Dr. B K Varma is an ophthalmologist/eye surgeon with 17 years of experience"",""Retina Treatment Services offered"",""Paediatric Ophthalmology services offered"",""Employs experienced ophthalmologists"",""Uses latest equipment and world-standard technologies in eye care"",""Provides comprehensive eye care services under one roof""]",3.0,true,true,null,null,null,28.57222366333000,77.3690338134765
14 Stars Dental,"[""+918791556586""]",+918791556586,doctor@14starsdental.com,"[""14starsdental.com"",""https://www.facebook.com/14starsdental/"",""https://www.facebook.com/112910490495430"",""http://www.14starsdental.com/""]",14starsdental.com,https://www.facebook.com/112910490495430,"Shantinagar, Damodar Pura",null,Aurangabad,Uttar Pradesh,281001.0,India,IN,dentist,private,"At 14 Stars Dental, we are dedicated to our patients in providing superior dental care at affordable prices. Our goal is to help our patients look and feel better.","[""dentistry"",""generalDentistry""]",[],[],"[""General dentistry services""]",1.0,false,null,152.0,152.0,null,27.45603370666500,77.7043609619140
24x7 Family Clinix,"[""+919873884431"",""+918750015601""]",+919873884431,null,"[""https://in.linkedin.com/in/dr-sudhanshu-singh-536698a9""]",null,https://www.facebook.com/106233769096988,"Milan Earth, A-13",null,Ghaziabad,Uttar Pradesh,201017.0,India,IN,clinic,null,null,"[""familyMedicine""]",[],[],[],1.0,true,true,60.0,null,null,28.70142745971670,77.4286041259765
3 E EYE CARE,"[""+919909914996"",""+919099914996""]",+919099914996,dr_hemdesai@yahoo.com,"[""https://www.facebook.com/329387770249767"",""http://www.3e-eyeclinic.com/"",""3e-eyeclinic.com""]",3e-eyeclinic.com,https://www.facebook.com/329387770249767,"48, Chaitanyanagar, Nr S. P. Stadium, Opp Savior Hospital",Navrangpura,Ahmedabad,Gujarat,380014.0,India,IN,clinic,private,Efficient Eye Care with Human Touch!,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,23.00222206115720,72.5178298950195
30 + Ayurved Clinic,"[""+918048032823"",""+919595229090""]",+918048032823,30plusayurvedclinic@gmail.com,"[""http://www.30plusayurvedclinic.com/"",""30plusayurvedclinic.com""]",30plusayurvedclinic.com,https://www.facebook.com/113276824930179,Flat No. B/1 Ground Floor Siddharth Complex,"Dhayari Phata, Sinhgad Road",Pune,Maharashtra,411041.0,India,IN,clinic,private,null,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,18.45826721191400,73.8122406005859
32 Crowns Dental Clinic,"[""+919855172741""]",+919855172741,null,"[""https://www.justdial.com/Dinanagar/32-Crowns-Dental-Clinic-Opposite-Ohri-Nursary-Dina-Nagar/9999P1874-1874-190402192250-S3Y3_BZDET"",""https://www.facebook.com/779179802158575""]",null,https://www.facebook.com/779179802158575,"Opposite Ohri Nursary, Mugrala Road",Golden Avenue Colony,Dinanagar,Punjab,143531.0,India,IN,clinic,private,null,"[""endodontics"",""dentistry"",""familyMedicine"",""prosthodontics""]",null,null,null,null,null,null,null,null,null,32.13368988037100,75.4766464233398
32 Dental Care,"[""+919779886555"",""+918283058358""]",+919779886555,drprashantnanda@outlook.com,"[""https://www.practo.com/amritsar/doctor/dr-prashant-nanda-dentist-5"",""https://www.facebook.com/108104114976234"",""https://www.eka.care/clinic/nanda-dental-care-diet-clinic-amritsar"",""https://www.eka.care/doctor/dr-prashant-nanda-dental-surgeon-amritsar"",""https://www.indiamart.com/32-dental-care-amritsar/"",""https://www.facebook.com/238954659915460"",""32.dental-care.co.in"",""http://32.dental-care.co.in/""]",32.dental-care.co.in,https://www.facebook.com/238954659915460,Loharka Road,Near R B Estate,Amritsar,Punjab,143001.0,India,IN,clinic,private,"32 Dental Care - Nursing Homes / Clinics / Hospitals of dental implant service, general dentistry treatment services & teeth cleaning services in Amritsar, Punjab. Owner: Dr Prashant Nanda","[""familyMedicine"",""generalDentistry"",""prosthodontics"",""dentoalveolarSurgery"",""periodontics"",""oralAndMaxillofacialSurgery"",""dentistry"",""endodontics""]","[""Performs dental restoration"",""General Dentistry Treatment Services"",""Performs wisdom tooth extraction"",""Offers ceramic veneers / crowns"",""Performs full mouth rehabilitation"",""Offers smile design"",""Provides children's dentistry"",""Root Coverage Surgery Services"",""Performs impaction / impacted tooth extraction"",""Offers implant prosthesis"",""Teeth Cleaning Services"",""Performs re-root canal treatment"",""Dental Implant Service"",""Periodontal Dental Treatment Services"",""Outpatient dental clinic""]",[],"[""Has a dental surgeon on staff with 9 years of experience."",""Dr. Prashant Nanda holds BDS from Sri Guru Ram Das Institute of Dental Sciences Research, 2015"",""Dr. Prashant Nanda is registered with Punjab State Dental Council (Registration 13860-A, 2016)"",""Specializes as Dentist, Cosmetic/Aesthetic Dentist, Implantologist, and Dental Surgeon"",""Outpatient dental clinic"",""Has Dr. Prashant Nanda with 10 years of overall experience (9 years as specialist)"",""Dr. Prashant Nanda is a member of the Dental Council of India and Indian Dental Association"",""Offers in-clinic visits"",""Dr. Prashant Nanda practices at 32 Dental Care Clinc in Loharka Kalan, Amritsar""]",3.0,true,true,2.0,2.0,null,31.68192100524900,74.8651428222656
32 Dental Care Multispeciality Dental Clinic,"[""+914144247010""]",+914144247010,32dentalcarebmutlur@gmail.com,"[""https://www.facebook.com/102195444997592""]",null,https://www.facebook.com/102195444997592,"Gjr Manzil, Main Road",Theethampalayam Bus Stop,Chidambaram,Tamil Nadu,608501.0,India,IN,clinic,private,null,"[""dentistry"",""familyMedicine""]",[],[],"[""Multispeciality dental clinic""]",1.0,false,null,100.0,null,null,11.50958919525140,79.7098083496093
32 Dental Focus,"[""+917397589330""]",+917397589330,info.32df@gmail.com,"[""http://www.32dentalfocus.com/"",""https://www.facebook.com/105002614691554/"",""https://chotu.com/local/dental-clinics-in-tirupur-tamil-nadu-india/ct-18419417/"",""32dentalfocus.com""]",32dentalfocus.com,https://www.facebook.com/105002614691554,"No 461, Palladam Main Rd",Thennampalayam,Tiruppur,Tamil Nadu,641604.0,India,IN,dentist,null,32 Dental Focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies. Our specialized dental team of doctors provide you a complete dental treatment under one roof in a painless way.,"[""dentistry"",""periodontics""]",[],[],"[""Specializes in periodontics"",""Uses advanced evidence-based technologies"",""Offers complete dental treatment under one roof"",""Maintains a specialized dental team of doctors"",""Provides painless dental treatment"",""In its 6th year of operation""]",1.0,true,true,172.0,null,null,11.08645248413080,77.3462066650390
